country1,country2,games,wins,looses,draws
Argentina,Australia,7,0.7142857142857143,0.14285714285714285,0.14285714285714285
Australia,Argentina,7,0.14285714285714285,0.7142857142857143,0.14285714285714285
Argentina,Belgium,4,0.75,0.25,0.0
Belgium,Argentina,4,0.25,0.75,0.0
Argentina,Brazil,108,0.3611111111111111,0.39814814814814814,0.24074074074074073
Brazil,Argentina,108,0.39814814814814814,0.3611111111111111,0.24074074074074073
Argentina,Cameroon,2,0.0,0.5,0.5
Cameroon,Argentina,2,0.5,0.0,0.5
Argentina,Canada,1,1.0,0.0,0.0
Canada,Argentina,1,0.0,1.0,0.0
Argentina,Costa Rica,6,0.6666666666666666,0.0,0.3333333333333333
Costa Rica,Argentina,6,0.0,0.6666666666666666,0.3333333333333333
Argentina,Croatia,5,0.4,0.4,0.2
Croatia,Argentina,5,0.4,0.4,0.2
Argentina,Denmark,2,0.0,0.5,0.5
Denmark,Argentina,2,0.5,0.0,0.5
Argentina,Ecuador,37,0.5675675675675675,0.13513513513513514,0.2972972972972973
Ecuador,Argentina,37,0.13513513513513514,0.5675675675675675,0.2972972972972973
Argentina,England,15,0.2,0.4,0.4
England,Argentina,15,0.4,0.2,0.4
Argentina,France,12,0.5,0.25,0.25
France,Argentina,12,0.25,0.5,0.25
Argentina,Germany,23,0.43478260869565216,0.30434782608695654,0.2608695652173913
Germany,Argentina,23,0.30434782608695654,0.43478260869565216,0.2608695652173913
Argentina,Ghana,1,1.0,0.0,0.0
Ghana,Argentina,1,0.0,1.0,0.0
Argentina,Iran,2,0.5,0.0,0.5
Iran,Argentina,2,0.0,0.5,0.5
Argentina,Japan,7,0.8571428571428571,0.14285714285714285,0.0
Japan,Argentina,7,0.14285714285714285,0.8571428571428571,0.0
Argentina,Mexico,31,0.4838709677419355,0.12903225806451613,0.3870967741935484
Mexico,Argentina,31,0.12903225806451613,0.4838709677419355,0.3870967741935484
Argentina,Morocco,3,1.0,0.0,0.0
Morocco,Argentina,3,0.0,1.0,0.0
Argentina,Netherlands,9,0.1111111111111111,0.4444444444444444,0.4444444444444444
Netherlands,Argentina,9,0.4444444444444444,0.1111111111111111,0.4444444444444444
Argentina,Poland,11,0.5454545454545454,0.2727272727272727,0.18181818181818182
Poland,Argentina,11,0.2727272727272727,0.5454545454545454,0.18181818181818182
Argentina,Portugal,8,0.625,0.25,0.125
Portugal,Argentina,8,0.25,0.625,0.125
Argentina,Saudi Arabia,4,0.5,0.0,0.5
Saudi Arabia,Argentina,4,0.0,0.5,0.5
Argentina,Serbia,4,0.75,0.25,0.0
Serbia,Argentina,4,0.25,0.75,0.0
